date,issues_opened,issues_closed,prs_opened,prs_closed,prs_merged
2026-06-16,0,0,1,1,1
2026-06-19,0,0,9,9,9
2026-06-22,1,0,0,0,0
2026-06-23,2,0,0,0,0
2026-06-24,1,1,0,0,0
2026-06-25,0,0,1,1,1
2026-06-26,2,0,2,2,2
2026-07-02,0,0,3,3,3
2026-07-03,12,4,3,3,3
2026-07-04,0,2,4,3,3
2026-07-05,0,1,4,5,4
2026-07-07,1,1,2,2,2
2026-07-26,0,0,1,0,0
2026-08-01,0,0,1,0,0
2026-08-02,0,0,6,7,7
2026-08-03,0,0,4,5,5
2026-08-16,0,0,6,6,6
2026-08-23,0,0,1,0,0
2026-08-24,0,1,1,2,1
2026-08-30,0,0,1,0,0
